subunit,facts_id,uom,date_plann,date_accom,date_compl,nbr_units_,nbr_units1,activity,method,equipment
002,0250109000,ACRES,2007-08-15,2007-08-15,,3.1,3.1,Improvement Cut,Manual,Chain Saw
000,T014000064,ACRES,2010-06-21,2010-06-30,2010-08-18,1.3,1.3,Special Products Removal,Firewood Removal,Chain Saw
001,7350008000,ACRES,2011-03-08,2011-03-08,,33,33,Burning of Piled Material,Prescribed Burn,Drip torch
000,4120018001,ACRES,2004-02-13,2006-07-25,2006-07-25,19,19,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,4120018001,ACRES,2006-07-25,2008-01-20,2008-01-20,19,19,Burning of Piled Material,Prescribed Burn,Drip torch
000,100106F003,ACRES,2015-01-01,2015-06-01,2015-06-01,34,34,"Piling of Fuels, Hand or Machine",Manual,Chain Saw
000,100106F003,ACRES,2015-01-01,2015-06-01,2015-06-01,34,34,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,1640905000,ACRES,2009-06-01,2009-07-01,,17.7,17.7,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,1640905000,ACRES,2009-10-01,2010-01-26,2010-01-26,17.7,17.7,Burning of Piled Material,Prescribed Burn,Drip torch
000,1640905000,ACRES,2009-06-01,2009-07-01,,17.7,17.7,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,309T059000,ACRES,2016-09-01,,,33,0,Commercial Thin,Tractor Logging,Feller Buncher
000,309T059000,ACRES,2016-09-01,,,33,0,Precommercial Thin,Tractor Logging,Feller Buncher
001,0370409000,ACRES,2015-04-14,2015-04-14,2015-07-20,18,18,Pruning to Raise Canopy Height and Discourage Crown Fire,Manual,Chain Saw
006,FT96PAN001,ACRES,2009-10-01,2009-11-09,2009-11-09,5,5,Burning of Piled Material,Prescribed Burn,Drip torch
000,13S7800000,ACRES,2007-01-01,2007-03-30,2007-03-30,4,4,Burning of Piled Material,Prescribed Burn,Drip torch
003,0547PINESX,ACRES,2007-03-31,2008-03-31,2008-03-31,42,42,Broadcast Burning - Covers a majority of the unit,Fire,Drip torch
002,F030000001,ACRES,2011-10-01,2011-11-15,2011-11-15,252.6,252.6,Underburn - Low Intensity (Majority of Unit),Fire,Drip torch
001,10400MTLIZ,ACRES,2004-06-24,2009-03-31,2009-03-31,28,28,Fuel Break,"Crushing, pushing",Dozer
B09,CASADIABRX,ACRES,2008-10-01,2009-04-15,2009-04-15,423,423,Broadcast Burning - Covers a majority of the unit,Fire,Drip torch
000,0190G19069,ACRES,2010-06-01,2010-09-15,2010-09-15,0.3,0.3,Precommercial Thin,Manual,Chain Saw
000,T036000077,ACRES,2015-05-20,2015-05-20,,5.7,5.7,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,0190G19069,ACRES,2010-06-01,2010-09-15,2010-09-15,0.3,0.3,Chipping of Fuels,Chipping,Chipper
000,019F221014,ACRES,2009-05-05,2009-08-24,2009-08-24,0.6,0.6,Precommercial Thin,Manual,Chain Saw
000,019F221014,ACRES,2009-05-05,2009-08-24,2009-08-24,0.6,0.6,Chipping of Fuels,Chipping,Chipper
000,470010F000,ACRES,2007-03-01,2007-04-30,2007-04-30,16,16,Burning of Piled Material,Fire,Drip torch
000,T462000013,ACRES,2004-09-14,2004-09-14,2005-10-30,4,4,Precommercial Thin,Mechanical,Feller Buncher
000,T462000013,ACRES,2006-10-13,2006-10-13,2006-10-14,4,4,Burning of Piled Material,Prescribed Burn,Drip torch
000,23S1600000,ACRES,2014-09-01,2014-09-10,2014-09-10,96,96,Chipping of Fuels,Mechanical,Chipper
000,T462000013,ACRES,2004-09-14,2004-09-14,2005-10-30,4,4,"Piling of Fuels, Hand or Machine",Manual,Chain Saw
000,01900H2072,ACRES,2014-04-20,2014-09-01,2014-09-01,0.3,0.3,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,7080010000,ACRES,2016-07-15,,,3,0,Burning of Piled Material,Prescribed Burn,Drip torch
000,4080600004,ACRES,2008-10-14,2008-10-15,2008-10-15,6.7,6.7,Underburn - Low Intensity (Majority of Unit),Fire,Drip torch
000,100987N000,ACRES,2006-06-01,2006-06-08,2006-06-08,80,80,Yarding - Removal of Fuels by Carrying or Dragging,Mechanical,NA
000,100987N000,ACRES,2004-07-01,2004-07-07,2004-07-07,80,80,Chipping of Fuels,Mechanical,Chipper
000,100987N000,ACRES,2006-06-01,2006-06-08,2006-06-08,80,80,Yarding - Removal of Fuels by Carrying or Dragging,Mechanical,NA
000,100987N000,ACRES,2004-10-01,2004-10-10,2004-10-10,80,80,Thinning for Hazardous Fuels Reduction,Mechanical,NA
000,7204004000,ACRES,2007-08-15,2007-09-14,2007-09-14,2.6,2.6,Precommercial Thin,Manual,Chain Saw
002,MUDSPR002F,ACRES,2014-04-30,,,27.5,0,"Piling of Fuels, Hand or Machine",Hand piling,NA
002,MUDSPR002F,ACRES,2014-04-30,,,27.5,0,Pruning to Raise Canopy Height and Discourage Crown Fire,Maintenance,Chain Saw
002,MUDSPR002F,ACRES,2014-04-30,,,27.5,0,Thinning for Hazardous Fuels Reduction,Cut trees and brush,Chain Saw
000,630617T001,ACRES,2006-01-01,2006-06-01,2006-06-01,21,21,Precommercial Thin,Mechanical,NA
000,AR5483___F,ACRES,2009-04-03,2009-06-16,2009-06-16,1,1,Thinning for Hazardous Fuels Reduction,Cut trees and brush,Hand saw
000,2500219000,ACRES,2006-04-20,2006-04-20,2006-08-29,6.6,6.6,Chipping of Fuels,Mechanical,Masticator
000,EXPVDTSRX2,ACRES,2013-10-01,2013-11-14,2013-11-14,36.3,36.3,Underburn - Low Intensity (Majority of Unit),Prescribed Burn,Drip torch
000,0190H17303,ACRES,2008-05-01,2008-07-01,2008-07-01,0.1,0.1,Precommercial Thin,Manual,Chain Saw
000,0190H17303,ACRES,2008-05-01,2008-07-01,2008-07-01,0.1,0.1,Chipping of Fuels,Chipping,Chipper
003,FTMILCRRD1,ACRES,2010-10-10,2010-11-08,2010-11-08,1,1,Burning of Piled Material,Fire,Drip torch
001,341124F000,ACRES,2012-08-14,2012-09-26,,22,22,Precommercial Thin,Manual,Chain Saw
000,0301001000,ACRES,2010-06-15,2010-09-15,2010-09-15,90,90,"Piling of Fuels, Hand or Machine",Mechanical pile,NA
000,0190G17004,ACRES,2008-05-02,2008-07-01,2008-07-01,0.2,0.2,Chipping of Fuels,Chipping,Chipper
000,0190G17004,ACRES,2008-05-01,2008-07-01,2008-07-01,0.2,0.2,Precommercial Thin,Manual,Chain Saw
000,0179020002,ACRES,2009-07-30,2009-07-31,2009-07-31,1.5,1.5,Chipping of Fuels,Mechanical,Chipper
001,610393F000,ACRES,2007-08-15,2008-07-30,2008-07-30,72,72,Compacting/Crushing of Fuels,Mechanical,Masticator
000,019F221020,ACRES,2009-06-01,2010-08-29,2010-08-29,0.6,0.6,Precommercial Thin,Manual,Chain Saw
000,019F221020,ACRES,2009-06-01,2010-08-29,2010-08-29,0.6,0.6,Chipping of Fuels,Chipping,Chipper
001,3060031000,ACRES,2006-05-01,2008-01-23,2008-03-01,3.5,4,Precommercial Thin,Mechanical,Chain Saw
000,NFP0352004,ACRES,2004-10-01,2004-12-04,2004-12-04,54,54,Burning of Piled Material,Prescribed Burn,NA
000,NFP0352004,ACRES,2002-10-01,2003-06-27,2003-06-27,54,54,"Piling of Fuels, Hand or Machine",Manual,NA
000,0272502000,ACRES,2003-04-14,2003-04-15,2003-04-15,18,18,"Piling of Fuels, Hand or Machine",Manual,NA
000,0190D13145,ACRES,2011-01-03,2011-08-01,2011-08-01,0.3,0.3,Burning of Piled Material,Prescribed Burn,Drip torch
000,NFP0554008,ACRES,2004-10-01,2006-09-30,2006-09-30,294,277,Thinning for Hazardous Fuels Reduction,Mechanical,NA
000,019D141009,ACRES,2011-01-03,2011-08-08,2011-08-08,0.4,0.4,Burning of Piled Material,Prescribed Burn,Drip torch
005,1440017000,ACRES,2014-10-01,,,11,0,Burning of Piled Material,Fire,NA
005,1440017000,ACRES,2014-06-01,2014-06-01,,11,11,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,0190F21147,ACRES,2006-06-15,2008-07-15,2008-07-15,0.3,0.3,Precommercial Thin,Manual,Chain Saw
000,3080125000,ACRES,2006-05-01,2008-05-30,2008-05-30,6,6,"Piling of Fuels, Hand or Machine",Mechanical,Dozer
002,7350008000,ACRES,2013-04-19,2013-04-19,2013-04-19,17,17,Burning of Piled Material,Prescribed Burn,Drip torch
000,1120000211,ACRES,2008-10-01,2009-08-25,2010-08-30,13.7,13.7,Compacting/Crushing of Fuels,Mechanical,Shredder
000,T008000005,ACRES,2015-03-24,2015-03-24,,107.3,107.3,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,T008000005,ACRES,2015-03-24,2015-03-24,,107.3,107.3,Precommercial Thin,Manual,Chain Saw
002,0100072000,ACRES,2009-07-01,2009-08-01,2009-08-01,3,3,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,0190F21265,ACRES,2009-05-05,2009-08-24,2009-08-24,0.4,0.4,Precommercial Thin,Manual,Chain Saw
000,0190F21265,ACRES,2009-05-05,2009-08-24,2009-08-24,0.4,0.4,Chipping of Fuels,Chipping,Chipper
000,T461000009,ACRES,2008-07-15,,,42,0,Compacting/Crushing of Fuels,Mechanical,Masticator
000,T461000009,ACRES,2008-07-15,,,42,0,Precommercial Thin,Mechanical,Feller Buncher
002,0100072000,ACRES,2009-08-01,2009-08-01,2009-08-01,3,3,Chipping of Fuels,Mechanical,Chipper
000,019F211015,ACRES,2007-05-15,2010-03-15,2010-03-15,0.8,0.8,Burning of Piled Material,Prescribed Burn,Drip torch
000,0190H19043,ACRES,2010-06-01,2010-09-20,2010-09-20,0.3,0.3,Chipping of Fuels,Chipping,Chipper
000,019F211015,ACRES,2007-05-15,2008-07-15,2008-07-15,0.8,0.8,"Piling of Fuels, Hand or Machine",Hand piling,NA
000,019F211015,ACRES,2007-05-15,2008-07-15,2008-07-15,0.8,0.8,Precommercial Thin,Manual,Chain Saw
001,2101009000,ACRES,2009-06-15,2009-06-15,,192,192,Compacting/Crushing of Fuels,Mechanical,Masticator
001,2101009000,ACRES,2009-06-15,2009-06-15,,192,192,Tree Release and Weed,Mechanical,Masticator
000,T451000019,ACRES,2010-08-01,2010-08-20,2010-08-20,20,20,Precommercial Thin,Manual,Chain Saw
002,054GEORGES,ACRES,2007-05-01,2007-05-04,2007-05-04,3,3,Yarding - Removal of Fuels by Carrying or Dragging,Manual,Hand Work
001,4440077000,ACRES,2007-08-01,2007-08-01,2007-11-02,14,14,"Piling of Fuels, Hand or Machine",Manual,Chain Saw
001,4440077000,ACRES,2007-08-01,2007-08-01,2007-11-02,14,14,Precommercial Thin,Manual,Chain Saw
001,4440077000,ACRES,2013-11-01,,,14,0,Burning of Piled Material,Prescribed Burn,Drip torch
009,FTMILCRRD1,ACRES,2010-10-15,2010-11-15,2010-11-15,4,4,Burning of Piled Material,Fire,Drip torch
000,610393F000,ACRES,2007-08-15,2008-07-30,2008-07-30,36,36,Thinning for Hazardous Fuels Reduction,Mechanical,Helicopter (non-harvest)
000,610393F000,ACRES,2007-08-15,2009-01-20,2009-01-20,36,36,Yarding - Removal of Fuels by Carrying or Dragging,Mechanical,Ground Base Skidder *
000,610393F000,ACRES,2007-08-15,2008-07-30,2008-07-30,36,36,Thinning for Hazardous Fuels Reduction,Mechanical,Helicopter (non-harvest)
000,610393F000,ACRES,2007-08-15,2009-01-20,2009-01-20,36,36,Yarding - Removal of Fuels by Carrying or Dragging,Mechanical,Ground Base Skidder *
000,019H141004,ACRES,2009-05-15,2009-08-24,2009-09-21,1.2,1.2,"Piling of Fuels, Hand or Machine",Hand piling,NA
000,019H141004,ACRES,2009-05-15,2009-08-24,2009-09-21,1.2,1.2,Precommercial Thin,Manual,NA
000,0190F21287,ACRES,2007-05-15,2008-07-15,2008-07-15,0.2,0.2,Chipping of Fuels,Chipping,Chipper
000,10400MTLIZ,ACRES,2003-03-10,2008-06-01,2008-06-01,55,74,"Piling of Fuels, Hand or Machine",Cut trees and brush,Chain Saw
006,FTMILCRRD1,ACRES,2010-10-01,2010-10-01,2010-10-01,7,7,Compacting/Crushing of Fuels,Mechanical,Masticator
000,100305F002,ACRES,2008-01-01,2008-01-15,2008-01-15,5,5,Thinning for Hazardous Fuels Reduction,Cut trees and brush,Chain Saw
000,100305F002,ACRES,2008-02-01,2008-02-15,2008-02-15,5,5,"Piling of Fuels, Hand or Machine",Hand piling,NA
000,100305F002,ACRES,2008-03-01,2008-03-15,2008-03-15,5,5,Burning of Piled Material,Fire,Drip torch
001,4010055000,ACRES,2006-08-01,2006-08-01,2006-12-01,24,24,Precommercial Thin,Mechanical,Masticator
000,1330942000,ACRES,2003-09-15,2003-09-15,2003-09-15,5,5,Compacting/Crushing of Fuels,Mechanical,Masticator
010,FTMILCRRD1,ACRES,2010-11-01,2010-11-17,2010-11-17,11,11,Burning of Piled Material,Fire,Drip torch
003,0370409000,ACRES,2015-04-14,2015-04-14,2015-07-20,13,13,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,F027000008,ACRES,2013-10-01,2013-10-30,2013-10-30,14.5,14.5,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,019H151007,ACRES,2009-05-15,2009-08-24,2009-09-21,0.5,0.5,Precommercial Thin,Manual,NA
000,019H151007,ACRES,2009-05-15,2009-08-24,2009-09-21,0.5,0.5,"Piling of Fuels, Hand or Machine",Hand piling,NA
000,F027000008,ACRES,2013-10-01,2013-10-30,2013-10-30,14.5,14.5,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
003,5200200023,ACRES,2014-01-20,2014-12-19,2014-12-19,86,86,Chipping of Fuels,Mechanical,Hand Work
003,5200200023,ACRES,2014-01-20,2014-12-19,2014-12-19,86,86,Thinning for Hazardous Fuels Reduction,Mechanical,Hand Work
000,2240084000,ACRES,2014-06-20,2014-06-20,,23,23,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,2240084000,ACRES,2015-04-01,,,23,0,Burning of Piled Material,Prescribed Burn,Drip torch
000,7120009000,ACRES,2012-09-13,2012-09-13,,23,23,Thinning for Hazardous Fuels Reduction,Mechanical,Low ground pressure machinery (non-harvest)
000,7120009000,ACRES,2012-07-15,2012-07-15,,23,23,"Piling of Fuels, Hand or Machine",Mechanical,Low ground pressure machinery (non-harvest)
000,F027000008,ACRES,2014-04-06,2014-04-06,2014-04-06,14.5,14.5,Burning of Piled Material,Prescribed Burn,Drip torch
000,1150034000,ACRES,2015-12-01,,,118,0,Underburn - Low Intensity (Majority of Unit),Prescribed Burn,Drip torch
000,4440166000,ACRES,2012-05-31,2013-04-12,2013-11-18,11,11,"Piling of Fuels, Hand or Machine",Manual,Chain Saw
000,4440166000,ACRES,2013-01-13,,,11,0,Burning of Piled Material,Prescribed Burn,Drip torch
000,4450173000,ACRES,2013-01-13,2013-05-31,2013-12-05,12,12,Precommercial Thin,Manual,Chain Saw
002,1440017000,ACRES,2011-09-03,2011-09-29,,13,13,Yarding - Removal of Fuels by Carrying or Dragging,Mobile Ground,Low ground pressure machinery (non-harvest)
002,1440017000,ACRES,2011-09-05,2011-09-29,,13,13,"Piling of Fuels, Hand or Machine",Mechanical pile,Dozer
004,ROAD1N0400,ACRES,2011-06-18,2011-06-18,2011-06-18,1,1,"Piling of Fuels, Hand or Machine",Manual,Chain Saw
000,T377000039,ACRES,2005-09-27,2006-01-18,,15,15,Precommercial Thin,Mechanical,Feller Buncher
000,T377000039,ACRES,2005-09-27,2006-01-18,,15,15,Thinning for Hazardous Fuels Reduction,Mechanical,Feller Buncher
084,046CROWLEY,ACRES,2010-08-16,2011-08-04,2011-09-30,6.5,6.5,Precommercial Thin,Manual,Chain Saw
084,046CROWLEY,ACRES,2010-08-16,2011-08-04,2011-09-30,6.5,6.5,Yarding - Removal of Fuels by Carrying or Dragging,Manual,Hand Work
084,046CROWLEY,ACRES,2010-08-16,2011-08-04,2011-09-30,6.5,6.5,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,1014114D00,ACRES,2004-06-07,2005-08-19,2005-08-19,58,58,"Piling of Fuels, Hand or Machine",Manual,Chain Saw
000,T376000010,ACRES,2005-09-27,2006-01-18,,6,6,Precommercial Thin,Mechanical,Feller Buncher
000,T376000010,ACRES,2005-09-27,2006-01-18,,6,6,Thinning for Hazardous Fuels Reduction,Mechanical,Feller Buncher
000,0190F20145,ACRES,2007-05-05,2008-07-15,2008-07-15,0.3,0.3,Chipping of Fuels,Chipping,Chipper
000,460279N000,ACRES,2004-03-24,2004-03-25,2004-03-25,595,595,Broadcast Burning - Covers a majority of the unit,Prescribed Burn,NA
000,019G021025,ACRES,2014-01-01,2014-03-24,2014-10-10,3.5,3.5,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,4440166000,ACRES,2013-01-13,2013-05-31,2013-11-18,11,11,Precommercial Thin,Manual,Chain Saw
004,1360927000,ACRES,2008-06-12,2009-12-12,2009-12-12,16,16,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,0190F20145,ACRES,2007-05-15,2008-07-15,2008-07-15,0.3,0.3,Precommercial Thin,Manual,Chain Saw
000,1110070000,ACRES,2009-10-01,2009-11-15,2009-11-15,2.5,2.5,Burning of Piled Material,Prescribed Burn,Drip torch
001,FTMILCRRD1,ACRES,2009-10-01,2010-05-23,2010-06-02,12,12,Burning of Piled Material,Prescribed Burn,Drip torch
000,000PIP023I,ACRES,2014-10-01,2015-03-01,2015-03-01,28.2,28.2,Burning of Piled Material,Prescribed Burn,Drip torch
000,7120908000,ACRES,2016-07-15,,,17,0,Underburn - Low Intensity (Majority of Unit),Prescribed Burn,Drip torch
000,0190F20152,ACRES,2011-10-01,2011-12-31,2011-12-31,0.8,0.8,Burning of Piled Material,Prescribed Burn,Drip torch
000,020501F002,ACRES,2014-01-01,2014-07-01,2014-07-01,2,2,Rearrangement of Fuels,Manual,Hand Work
000,1200020000,ACRES,2014-06-01,2015-08-12,,74.7,74.7,"Piling of Fuels, Hand or Machine",Mechanical,Grapple Piler
000,FTPILOT6S4,ACRES,2013-10-01,2014-07-15,2014-07-15,4,4,"Piling of Fuels, Hand or Machine",Mechanical pile,Excavator
000,1200020000,ACRES,2015-10-01,,,74.7,0,Burning of Piled Material,Fire,Drip torch
000,5500074000,ACRES,2007-08-01,2007-08-01,2007-08-01,10,10,Chipping of Fuels,Mechanical,Chipper
000,341124F000,ACRES,2013-11-25,2014-02-03,2014-02-28,127.5,127.5,Burning of Piled Material,Fire,Drip torch
000,341124F000,ACRES,2013-08-05,2013-10-21,,127.5,127.5,"Piling of Fuels, Hand or Machine",Hand piling,NA
000,019H141004,ACRES,2011-05-05,2011-08-01,2011-08-01,1.2,1.2,Burning of Piled Material,Prescribed Burn,Drip torch
000,6130137000,ACRES,2013-05-08,2013-05-08,2013-09-03,43.7,43.7,Precommercial Thin,Mechanical,Masticator
000,TANBARKFB4,ACRES,2012-01-10,2013-06-10,2013-06-10,8,4,Chipping of Fuels,Chipping,Chipper
000,8704037000,ACRES,2011-09-26,2011-09-26,,1.3,1.3,Tree Release and Weed,Mechanical,Chain Saw
000,341124F000,ACRES,2012-08-14,2012-09-26,,127.5,127.5,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,019F221035,ACRES,2009-06-01,2010-08-30,2010-08-30,0.4,0.4,Precommercial Thin,Manual,Chain Saw
000,019F221035,ACRES,2009-06-01,2010-08-30,2010-08-30,0.4,0.4,Chipping of Fuels,Manual,Chain Saw
000,019F221035,ACRES,2010-10-01,2011-04-15,2011-04-15,0.4,0.4,Burning of Piled Material,Prescribed Burn,Drip torch
000,019G191003,ACRES,2012-01-01,2012-07-15,2012-07-15,0.5,0.5,"Piling of Fuels, Hand or Machine",Hand piling,NA
000,019G191003,ACRES,2012-01-01,2012-07-15,2012-07-15,0.5,0.5,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,019G191003,ACRES,2013-10-01,2013-11-08,2013-11-08,0.5,0.5,Burning of Piled Material,Prescribed Burn,Drip torch
000,1380502000,ACRES,1955-08-15,1955-08-15,1955-08-15,33,33,Wildfire - Natural Ignition,Not Applicable,NA
000,4500347000,ACRES,2014-08-01,2014-08-28,2015-03-16,17,17,Stand Clearcut (w/ leave trees) (EA/RH/FH),Single Span Skyline,Single span skyline
000,4500347000,ACRES,2016-02-01,,,17,0,Slashing - Pre-Site Preparation,Manual,Chain Saw
000,4500347000,ACRES,2013-08-01,2013-08-01,2013-08-01,17,17,Wildfire - Human Ignition,Not Applicable,NA
000,4500347000,ACRES,2016-10-01,,,17,0,Site Preparation for Planting - Burning,Prescribed Burn,Drip torch
000,2170105000,ACRES,2013-11-07,2013-11-07,2013-11-07,0.9,0.9,Burning of Piled Material,Prescribed Burn,Drip torch
000,T462000005,ACRES,2014-10-01,2014-12-02,2014-12-02,37,37,Burning of Piled Material,Prescribed Burn,Drip torch
000,T462000006,ACRES,2014-10-01,2014-12-02,2014-12-02,22,22,Burning of Piled Material,Prescribed Burn,Drip torch
001,3060031000,ACRES,2006-05-01,2008-01-23,2008-03-01,3.5,4,Compacting/Crushing of Fuels,Mechanical,Masticator
000,7200903000,ACRES,2004-10-15,2004-12-20,2004-12-20,110,110,Burning of Piled Material,Prescribed Burn,Drip torch
000,1754034000,ACRES,2010-07-06,2010-09-07,2010-09-22,4.4,4.4,Site Preparation for Planting - Mechanical,Mechanical,Excavator
001,7320027000,ACRES,2014-07-30,,,28,0,Wildfire - Natural Ignition,Not Applicable,NA
000,SNGULCH06F,ACRES,2010-08-27,2010-08-27,2010-10-25,11.5,11.5,Fuel Break,Cut trees and brush,Chain Saw
001,ROAD1N0100,ACRES,2012-11-27,2012-11-27,2012-11-27,3.7,3.7,Burning of Piled Material,Prescribed Burn,Drip torch
000,4080028000,ACRES,2013-03-29,2013-03-29,,6.9,6.9,Commercial Thin,Mechanical,Skid-Steer-Type Vehicle
000,4080028000,ACRES,2013-03-29,2013-03-29,,6.9,6.9,Yarding - Removal of Fuels by Carrying or Dragging,Not Applicable,NA
000,308T006A00,ACRES,2016-09-01,,,3,0,Commercial Thin,Tractor Logging,Feller Buncher
000,308T006A00,ACRES,2016-09-01,,,3,0,Precommercial Thin,Tractor Logging,Feller Buncher
000,050468F000,ACRES,2013-02-21,2013-02-21,2013-02-21,32,32,Burning of Piled Material,Prescribed Burn,Drip torch
000,7120009000,ACRES,2010-08-01,2010-08-30,2012-10-14,2,2,Thinning for Hazardous Fuels Reduction,Mechanical,Masticator
B01,CASADIABRX,ACRES,2000-10-01,,,903,0,Broadcast Burning - Covers a majority of the unit,Prescribed Burn,Drip torch
000,019H121002,ACRES,2013-04-20,2013-09-01,2013-09-01,1.3,1.3,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,019H121002,ACRES,2013-04-20,2013-09-01,2013-09-01,1.3,1.3,"Piling of Fuels, Hand or Machine",Hand piling,Chain Saw
000,9S06600000,ACRES,2008-08-01,2009-11-16,2009-11-16,5,5,Burning of Piled Material,Fire,Drip torch
011,MTBALDYVIL,ACRES,2011-10-12,2012-03-08,2012-03-08,4.8,4.8,Thinning for Hazardous Fuels Reduction,Cut trees and brush,Chain Saw
011,MTBALDYVIL,ACRES,2011-10-12,2012-03-08,2012-03-08,4.8,4.8,"Piling of Fuels, Hand or Machine",Hand piling,Hand Tool
002,5200200023,ACRES,2013-01-15,2013-12-20,2013-12-20,109,109,Yarding - Removal of Fuels by Carrying or Dragging,Manual,Hand Work
002,5200200023,ACRES,2013-01-15,2013-12-20,2013-12-20,109,109,Pruning to Raise Canopy Height and Discourage Crown Fire,Mechanical,Chain Saw
002,5200200023,ACRES,2013-01-15,2013-12-20,2013-12-20,109,109,Rearrangement of Fuels,Manual,Hand Work
000,EXPVDTSRX1,ACRES,2013-10-01,2013-11-12,2013-11-12,29.2,29.2,Underburn - Low Intensity (Majority of Unit),Prescribed Burn,Drip torch
000,2170105000,ACRES,2012-09-01,2012-09-11,2012-09-11,0.9,0.9,"Piling of Fuels, Hand or Machine",Manual,Hand Work
04A,FT96PAN001,ACRES,2007-10-01,2008-07-22,2008-07-22,21,21,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,2480058000,ACRES,2011-11-01,2012-01-23,2012-01-23,14,14,Burning of Piled Material,Prescribed Burn,Drip torch
000,7304150D00,ACRES,2021-08-15,,,1.9,0,"Piling of Fuels, Hand or Machine",Power Hand,Chain Saw
000,7304150D00,ACRES,2012-08-15,,,1.9,0,Yarding - Removal of Fuels by Carrying or Dragging,Tractor Logging,Rubber tired skidder logging
007,341051F000,ACRES,2010-10-07,2010-10-14,2010-12-19,13,13,Thinning for Hazardous Fuels Reduction,Mechanical,Chain Saw
000,010102F002,ACRES,2014-01-01,2014-06-01,2014-06-01,10,10,Thinning for Hazardous Fuels Reduction,Manual,Hand Work
000,0190F18007,ACRES,2011-05-01,2011-09-01,2011-09-01,1,1,Chipping of Fuels,Chipping,Chipper
000,0190F18007,ACRES,2011-05-01,2011-09-01,2011-09-01,1,1,Precommercial Thin,Manual,Chain Saw
000,T376000068,ACRES,2014-05-01,2014-05-27,2014-09-10,2,2,Compacting/Crushing of Fuels,Mechanical,Rubber tired skidder logging
005,F003123571,ACRES,2006-09-12,2006-09-30,2006-09-30,400,250,Thinning for Hazardous Fuels Reduction,Cut trees and brush,NA
000,0002010004,ACRES,2010-01-01,2010-04-01,2010-04-01,119,119,Pruning to Raise Canopy Height and Discourage Crown Fire,Cut trees and brush,Chain Saw
000,0002010004,ACRES,2010-04-01,2010-06-01,2010-06-01,119,119,Burning of Piled Material,Fire,Drip torch
004,F003123571,ACRES,2004-11-15,2005-09-30,2005-09-30,400,100,"Piling of Fuels, Hand or Machine",Manual,NA
007,HWY108CPP1,ACRES,2010-10-01,2010-10-18,2010-10-18,3.2,3.2,Burning of Piled Material,Prescribed Burn,Drip torch
000,0002010004,ACRES,2010-01-01,2010-04-01,2010-04-01,119,119,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,0002010004,ACRES,2010-01-01,2010-04-01,2010-04-01,119,119,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,0002010004,ACRES,2010-01-01,2010-04-01,2010-04-01,119,119,Pruning to Raise Canopy Height and Discourage Crown Fire,Cut trees and brush,Chain Saw
000,0002010004,ACRES,2010-04-01,2010-06-01,2010-06-01,119,119,Burning of Piled Material,Fire,Drip torch
000,0002010004,ACRES,2010-01-01,2010-04-01,2010-04-01,119,119,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,0002010004,ACRES,2010-01-01,2010-04-01,2010-04-01,119,119,Pruning to Raise Canopy Height and Discourage Crown Fire,Cut trees and brush,Chain Saw
000,0002010004,ACRES,2010-04-01,2010-06-01,2010-06-01,119,119,Burning of Piled Material,Fire,Drip torch
000,0002010004,ACRES,2010-01-01,2010-04-01,2010-04-01,119,119,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,0002010004,ACRES,2010-01-01,2010-04-01,2010-04-01,119,119,Pruning to Raise Canopy Height and Discourage Crown Fire,Cut trees and brush,Chain Saw
000,0002010004,ACRES,2010-04-01,2010-06-01,2010-06-01,119,119,Burning of Piled Material,Fire,Drip torch
000,0002010004,ACRES,2010-01-01,2010-04-01,2010-04-01,119,119,Pruning to Raise Canopy Height and Discourage Crown Fire,Cut trees and brush,Chain Saw
000,0002010004,ACRES,2010-04-01,2010-06-01,2010-06-01,119,119,Burning of Piled Material,Fire,Drip torch
000,0002010004,ACRES,2010-04-01,2010-06-01,2010-06-01,119,119,Burning of Piled Material,Fire,Drip torch
